index,name,url
167,HDMI重定时延长+光纤/模拟音频分离-MS9331,/aknice/ms9331
168,3D打印机械臂,/qinzr/robot
169,窗帘控制扩展板,/li-chuang-kai-fa-ban/chuang-lian-kong-zhi-kuo-zhan-ban
170,基于ESP32制作的多功能LED点阵屏幕，可以显示歌词,/cyaroge/dz_16-n_control
171,【CW32】KODO-ESC无刷电机控制器,/ku-dian-ke-ji-guan/wu-shua-dian-ji-kong-zhi-qi
172,校园生活助手7,/lxu0423/xiao-yuan-sheng-huo-zhu-shou-7-0
173,#第七届立创电赛#基于N32/STM32物联网终端设备,/gbn2333/ji-yustm32
174,2.8寸Miyoo横板掌机,/sunnygold/miyoogame_2022-12-25_17-58-30
175,AiPi-Audio,/ai-thiner_openteam/aipi-audio
176,【复刻Nokia】使用ESP32复刻Nokia1110,/dr.zhang/Nokia1110-ESP32
177,焊接烟雾净化器,/wzw666/yan-wu-jing-hua-qi
178,AiPi-SCP-2.4,/ai-thiner_openteam/aipi-scp-2-4
179,KVM-Card-Mini,/jancgk/kvm-card-mini
180,[米家 | ESP8266]窗帘电机,/littleoandlittleq/dian-dong-chuang-lian
181,PCIe_Bifurcation,/oldmonster/CEM4NGFF_GEN4_EVM
182,RTL8367RB-VB-CG,/clown/rtl8367rb-vb-cg
183,[低功耗 | 可充电] ESP8266无线开关,/littleoandlittleq/wu-xian-kai-guan
184,[PD协议 | 高颜值]mini加热台,/littleoandlittleq/bian-xie-jia-re-tai
185,基于CW32L系列MCU的指夹式血氧仪,/ilex_35/CW32L-xue-yang-yi
186,多功能控制台,/flyn/mutifuncontrol
187,立创·梁山派-游戏机扩展板,/li-chuang-kai-fa-ban/tian-kui-xing-kuo-zhan-ban
188,STM32数字万用表,/geekmwb/wan-yong-biao-_-kai-yuan
189,AiPi-DSL,/ai-thiner_openteam/aipi-dsl
190,M.2无线网卡和SATA转NGFF转接卡,/beiming_leiming/m-2-wu-xian-wang-ka-zhuan-jie-ka
191,【训练营】就决定是你了，皮卡丘大侦探！,/chi_a/hong-meng-ji-qi-gou
192,【立创电赛】基于瑞萨的桌面电子时钟设计,/course-examples/li-chuang-dian-sai-ji-yu-rui-sa-de-zhuo-mian-dian-zi-shi-zhong-she-ji
193,桌面电脑硬件监控,/gugugu625/zhuo-mian-dian-nao-ying-jian-jia
194,【电子竞赛】21年电赛F题-智能送药小车,/li-chuang-kai-fa-ban/21-dian-sai-f-ti-zhi-neng-song-yao-xiao-che
195,小安派-Cam-U,/ai-thiner_openteam/bl618-usb-cam_v1-0
196,穿越机分电板2-6s(已测试),/jhx275816/chuan-yue-ji-fen-dian-ban-2-6s-yi-jing-ce-shi
197,【 Monica】DIY手表~,/eedadada/monica
198,基于梁山派电子物料收纳盒,/int_and_long/ji-yu-liang-shan-pai-dian-zi-wu-liao-shou-na-he
199,【立创开发板】梁山派瓦力机器人,/gshaoburuchuan/li-chuang-kai-fa-ban-liang-shan-pai-wa-li-ji-qi-ren
200,TNT氛围灯,/small_da/TNTfen-wei-deng
201,带MUX可正反插的TYPE-C转HDMI+USB3+PD+VGA,/aknice/dai-mux-de-type-c-zhuan-hdmi-usb3-1-pd
202,第十四届蓝桥杯EDA赛模拟题一,/course-examples/di-shi-si-jie-lan-qiao-bei-eda-sai-mo-ni-ti-yi
203,RGB_800X480,/li-chuang-kai-fa-ban/rgb_mcu_480x800_transfer
204,小安派-Cam-D,/ai-thiner_openteam/m6132cam
205,T12焊笔v6.1,/buerchen/t12-han-bi-v6-1
