index,path,name
140,_dingcheng_RGBzhi_neng_guang_hui_bang_deng,USB3.0高速集线器，1转4
141,_gnosis_ammeter,可编程电流表
142,_wei_lai_dian_zi_gong_zuo_shi_qian_ru_shi_ji_yu_stc32_de_zhi_nen_xiao_che_she_ji,_嵌入式_逐梦壹号_基于STC32的智能小车设计
143,_yeshengchengxuyuan_b4b67ab1e8234aeebea054b4eda6f549,GSM_Weather_S3
144,_clz1_5.8Ghztu_zhuan,飞行器设计之5.8Ghz图传
145,_u8xx_ji_yu_NB_IOTde_wu_ren_shui_zhi_j,基于NB_IOT的无人水质监测船
146,_kakaka_shen_qi_an_niu_1_1,神奇按钮_v1.1版本
147,_wei_lai_dian_zi_gong_zuo_shi_zui_xiao_xi_tong_stc32g12k128,STC32G12K128核心板_串口下载
148,_ai_thiner_openteam_ai_m61evb_s2_v1_0,AiPi_Eyes_S2
149,_li_chuang_kai_fa_ban_he_fu_she_jian_ce_yi,盖革计数器_辐射检测仪
150,_zhaoyiyi1_dian_dong_sheng_xiang_zhuo,电动升降桌
151,_qgwww_zhi_neng_ti_zhong_cheng,智能体重秤
152,_edcullen_SMART_HOME,物联网智能家居监测控制系统
153,_liuwenchao_chu_mo_dian_yuan,大功率触控桌充
154,_leichaolin_xing_huo_ji_hua_3.5KWda_gong_shu,3.5KW大功率逆变器__星火计划_
155,_daqolee_dan_tfan_ye_shi_zhong,单体翻页时钟
156,_malong_PEX8748_2SLIMSAS_4NGFF_GEN3,PEX8748_2SLIMSAS_4NGFF_GEN3
157,_an_ye_7cun_zhuo_mian_xin_xi_ping,7寸mp4播放器
158,_zhuyshuang_3_8_cun_hdmi_xian_shi_qi,带TF卡双卡双读功能的3.8寸HDMI屏
159,_lemon_wifi_CH543,TypeC转DP视频输出模块
160,_lemon_wifi_PS176,DP转HDMI视频输出模块
161,_lemon_wifi_CS5265,TypeC转HDMI视频输出模块
162,_lemon_wifi_VL171,TypeC转DP1.4+USB3.2_Gen1
163,_pengzhihui_b11afae464c54a3e8d0f77e1f92dc7b7,_瀚文_HelloWord_Keyboard
164,_ai_thiner_openteam_aipi_eyes_s1,AiPi_Eyes_S1
165,_xyzdiy_ct7601_usb_dac,便携式USB_Hi_Fi耳放
166,_aknice_ms9332_ms8005_demo,HDMI进HDMI+VGA+模拟音频出转换器
167,_aknice_ms9331,HDMI重定时延长+光纤_模拟音频分离_MS9331
168,_qinzr_robot,3D打印机械臂
169,_li_chuang_kai_fa_ban_chuang_lian_kong_zhi_kuo_zhan_ban,窗帘控制扩展板
170,_cyaroge_dz_16_n_control,基于ESP32制作的多功能LED点阵屏幕，可以显示歌词
171,_ku_dian_ke_ji_guan_wu_shua_dian_ji_kong_zhi_qi,_CW32_KODO_ESC无刷电机控制器
172,_lxu0423_xiao_yuan_sheng_huo_zhu_shou_7_0,校园生活助手7
173,_gbn2333_ji_yustm32,#第七届立创电赛#基于N32_STM32物联网终端设备
174,_sunnygold_miyoogame_2022_12_25_17_58_30,2.8寸Miyoo横板掌机
175,_ai_thiner_openteam_aipi_audio,AiPi_Audio
176,_dr.zhang_Nokia1110_ESP32,_复刻Nokia_使用ESP32复刻Nokia1110
177,_wzw666_yan_wu_jing_hua_qi,焊接烟雾净化器
178,_ai_thiner_openteam_aipi_scp_2_4,AiPi_SCP_2.4
179,_jancgk_kvm_card_mini,KVM_Card_Mini
180,_littleoandlittleq_dian_dong_chuang_lian,[米家___ESP8266]窗帘电机
181,_oldmonster_CEM4NGFF_GEN4_EVM,PCIe_Bifurcation
182,_clown_rtl8367rb_vb_cg,RTL8367RB_VB_CG
183,_littleoandlittleq_wu_xian_kai_guan,[低功耗___可充电]_ESP8266无线开关
184,_littleoandlittleq_bian_xie_jia_re_tai,[PD协议___高颜值]mini加热台
185,_ilex_35_CW32L_xue_yang_yi,基于CW32L系列MCU的指夹式血氧仪
186,_flyn_mutifuncontrol,多功能控制台
187,_li_chuang_kai_fa_ban_tian_kui_xing_kuo_zhan_ban,立创·梁山派_游戏机扩展板
188,_geekmwb_wan_yong_biao___kai_yuan,STM32数字万用表
189,_ai_thiner_openteam_aipi_dsl,AiPi_DSL
190,_beiming_leiming_m_2_wu_xian_wang_ka_zhuan_jie_ka,M.2无线网卡和SATA转NGFF转接卡
191,_chi_a_hong_meng_ji_qi_gou,_训练营_就决定是你了，皮卡丘大侦探！
192,_course_examples_li_chuang_dian_sai_ji_yu_rui_sa_de_zhuo_mian_dian_zi_shi_zhong_she_ji,_立创电赛_基于瑞萨的桌面电子时钟设计
193,_gugugu625_zhuo_mian_dian_nao_ying_jian_jia,桌面电脑硬件监控
194,_li_chuang_kai_fa_ban_21_dian_sai_f_ti_zhi_neng_song_yao_xiao_che,_电子竞赛_21年电赛F题_智能送药小车
195,_ai_thiner_openteam_bl618_usb_cam_v1_0,小安派_Cam_U
196,_jhx275816_chuan_yue_ji_fen_dian_ban_2_6s_yi_jing_ce_shi,穿越机分电板2_6s(已测试)
197,_eedadada_monica,__Monica_DIY手表~
198,_int_and_long_ji_yu_liang_shan_pai_dian_zi_wu_liao_shou_na_he,基于梁山派电子物料收纳盒
199,_gshaoburuchuan_li_chuang_kai_fa_ban_liang_shan_pai_wa_li_ji_qi_ren,_立创开发板_梁山派瓦力机器人
200,_small_da_TNTfen_wei_deng,TNT氛围灯
201,_aknice_dai_mux_de_type_c_zhuan_hdmi_usb3_1_pd,带MUX可正反插的TYPE_C转HDMI+USB3+PD+VGA
202,_course_examples_di_shi_si_jie_lan_qiao_bei_eda_sai_mo_ni_ti_yi,第十四届蓝桥杯EDA赛模拟题一
